PARTIDO_CI,ID_ENTIDAD,ID_DISTRITO_FEDERAL,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
PT,15,037,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
MC,15,037,Fernando Alberto García Cuévas,Julio de Jesús Ramos García
MORENA,15,037,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN-PRI-PRD,15,037,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRI,15,037,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRD,15,037,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI-PRD,15,037,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM_PT_MORENA,15,037,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_PT,15,037,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_MORENA,15,037,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT_MORENA,15,037,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN,15,038,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI,15,038,Enrique Vargas del Villar,Héctor Quezada Quezada
PRD,15,038,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM,15,038,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT,15,038,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
MC,15,038,Fernando Alberto García Cuévas,Julio de Jesús Ramos García
MORENA,15,038,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN-PRI-PRD,15,038,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRI,15,038,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRD,15,038,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI-PRD,15,038,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM_PT_MORENA,15,038,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_PT,15,038,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_MORENA,15,038,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT_MORENA,15,038,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN,15,039,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI,15,039,Enrique Vargas del Villar,Héctor Quezada Quezada
PRD,15,039,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM,15,039,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT,15,039,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
MC,15,039,Fernando Alberto García Cuévas,Julio de Jesús Ramos García
MORENA,15,039,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN-PRI-PRD,15,039,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRI,15,039,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRD,15,039,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI-PRD,15,039,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM_PT_MORENA,15,039,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_PT,15,039,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_MORENA,15,039,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT_MORENA,15,039,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN,15,040,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI,15,040,Enrique Vargas del Villar,Héctor Quezada Quezada
PRD,15,040,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM,15,040,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT,15,040,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
MC,15,040,Fernando Alberto García Cuévas,Julio de Jesús Ramos García
MORENA,15,040,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN-PRI-PRD,15,040,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRI,15,040,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRD,15,040,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI-PRD,15,040,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM_PT_MORENA,15,040,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_PT,15,040,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_MORENA,15,040,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT_MORENA,15,040,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN,16,001,Araceli Saucedo Reyes,Verónica García Reyes
PRI,16,001,Araceli Saucedo Reyes,Verónica García Reyes
PRD,16,001,Araceli Saucedo Reyes,Verónica García Reyes
PVEM,16,001,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT,16,001,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
MC,16,001,Carlos Herrera Tello,Armando Flores Martínez
MORENA,16,001,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN-PRI-PRD,16,001,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRI,16,001,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRD,16,001,Araceli Saucedo Reyes,Verónica García Reyes
PRI-PRD,16,001,Araceli Saucedo Reyes,Verónica García Reyes
PVEM_PT_MORENA,16,001,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_PT,16,001,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_MORENA,16,001,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT_MORENA,16,001,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN,16,002,Araceli Saucedo Reyes,Verónica García Reyes
PRI,16,002,Araceli Saucedo Reyes,Verónica García Reyes
PRD,16,002,Araceli Saucedo Reyes,Verónica García Reyes
PVEM,16,002,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT,16,002,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
MC,16,002,Carlos Herrera Tello,Armando Flores Martínez
MORENA,16,002,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN-PRI-PRD,16,002,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRI,16,002,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRD,16,002,Araceli Saucedo Reyes,Verónica García Reyes
PRI-PRD,16,002,Araceli Saucedo Reyes,Verónica García Reyes
PVEM_PT_MORENA,16,002,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_PT,16,002,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_MORENA,16,002,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT_MORENA,16,002,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN,16,003,Araceli Saucedo Reyes,Verónica García Reyes
PRI,16,003,Araceli Saucedo Reyes,Verónica García Reyes
PRD,16,003,Araceli Saucedo Reyes,Verónica García Reyes
PVEM,16,003,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT,16,003,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
MC,16,003,Carlos Herrera Tello,Armando Flores Martínez
MORENA,16,003,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN-PRI-PRD,16,003,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRI,16,003,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRD,16,003,Araceli Saucedo Reyes,Verónica García Reyes
PRI-PRD,16,003,Araceli Saucedo Reyes,Verónica García Reyes
PVEM_PT_MORENA,16,003,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_PT,16,003,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_MORENA,16,003,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT_MORENA,16,003,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN,16,004,Araceli Saucedo Reyes,Verónica García Reyes
PRI,16,004,Araceli Saucedo Reyes,Verónica García Reyes
PRD,16,004,Araceli Saucedo Reyes,Verónica García Reyes
PVEM,16,004,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PT,16,004,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
MC,16,004,Carlos Herrera Tello,Armando Flores Martínez
MORENA,16,004,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PAN-PRI-PRD,16,004,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRI,16,004,Araceli Saucedo Reyes,Verónica García Reyes
PAN-PRD,16,004,Araceli Saucedo Reyes,Verónica García Reyes
PRI-PRD,16,004,Araceli Saucedo Reyes,Verónica García Reyes
PVEM_PT_MORENA,16,004,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
PVEM_PT,16,004,Reyna Celeste Ascencio Ortega,Itzel Yunuen Iturbe Hernández
